DateTime,AddedIPs,RemovedIPs
1520709390,3,3
1520711312,2,2
1520713223,2,2
1520715184,3,2
1520717065,3,4
1520718890,2,5
1520720700,2,2
1520722639,2,3
1520724847,4,2
1520726922,4,1
1520728815,3,2
1520730996,2,3
1520733017,1,1
1520734828,0,3
1520737003,1,3
1520740883,3,1
1520742754,4,0
1520744705,1,1
1520746589,0,2
1520748517,1,2
1520750671,2,2
1520752588,0,1
1520754507,0,1
1520756422,1,2
1520758360,1,0
1520760261,0,1
1520764112,1,0
1520766113,0,1
1520770129,0,1
1520773967,0,3
1520778280,1,2
1520782108,0,1
1520784133,0,2
1520785973,0,2
1520787954,1,0
1520789799,0,1
1520791736,0,2
1520793875,2,2
1520796045,1,3
1520797946,3,2
1520799895,1,3
1520801792,1,3
1520803743,4,3
1520805676,3,2
1520807562,1,3
1520809478,1,2
1520811638,0,4
1520813564,2,4
1520815480,1,3
1520817407,0,1
1520819330,1,1
1520821257,1,0
1520823163,1,1
1520825089,2,0
1520827008,0,1
1520828931,1,6
1520830889,0,1
1520834672,5,1
1520836603,0,2
1520838504,1,0
1520840459,1,0
1520842352,0,1
1520844525,0,1
1520850289,2,1
1520859879,2,0
1520863724,0,1
1520865643,1,0
1520867800,1,0
1520871653,1,0
1520873786,0,1
1520880751,1,2
1520882680,0,1
1520884583,0,3
1520887863,3,1
1520889878,3,5
1520892106,1,3
1520893966,3,1
1520896157,3,1
1520898019,3,0
1520900196,2,2
1520902105,2,1
1520904021,3,0
1520905970,1,1
1520908011,1,1
1520910101,3,1
1520911941,0,2
1520916030,0,1
1520919878,0,3
1520921788,2,2
1520923715,1,0
1520925630,2,1
1520927574,0,1
1520935298,2,1
1520937154,1,1
1520939081,1,0
1520941004,1,0
1520942911,1,0
1520944831,2,0
1520946753,6,1
1520948692,4,0
1520950600,2,0
1520952524,0,2
1520958272,0,1
1520960214,3,0
1520962111,1,0
1520964076,2,0
1520966036,2,1
1520968132,1,0
1520970273,1,0
1520972435,1,0
1520974362,1,3
1520976277,1,3
1520978185,1,0
1520980099,3,3
1520982131,0,4
1520983971,2,2
1520985878,2,2
1520987783,2,1
1520989718,0,5
1520991622,0,1
1520993554,2,0
1520995462,0,3
1520997389,1,1
1521006978,1,0
1521008906,1,2
1521012766,0,2
1521020443,0,1
1521022361,0,1
1521024528,1,2
1521026439,1,0
1521028349,0,1
1521030268,0,3
1521032360,1,2
1521034340,0,6
1521036185,0,2
1521038176,0,1
1521039987,1,0
1521041799,1,0
1521045478,1,1
1521047490,1,2
1521049458,2,1
1521051274,0,3
1521053311,0,1
1521055114,1,1
1521056988,3,1
1521058924,3,1
1521060763,2,1
1521062828,0,1
1521064894,1,1
1521066743,1,3
1521068545,3,0
1521071088,1,3
1521074861,0,2
1521076819,4,0
1521080696,1,2
1521082565,2,1
1521084502,2,0
1521086366,1,0
1521090245,1,1
1521092179,0,1
1521094113,1,1
1521096015,1,0
1521103482,1,0
1521116517,2,0
1521118600,1,0
1521120966,1,0
1521125011,3,0
1521129178,2,0
1521131074,1,0
1521133324,1,0
1521135159,1,0
1521137109,1,0
1521140920,2,0
1521142825,1,0
1521144750,1,0
1521146676,3,0
1521148596,2,21
1521150507,2,0
1521152435,2,2
1521154355,1,3
1521158560,6,1
1521160637,1,0
1521162686,1,4
1521164994,2,0
1521166831,1,1
1521168794,1,2
1521170663,2,2
1521172643,0,1
1521174501,3,0
1521176533,0,1
1521180301,1,0
1521184178,0,1
1521186023,1,0
1521189875,0,1
1521191824,1,0
1521201481,0,1
1521203326,0,2
1521205283,1,0
1521207154,0,1
1521210995,0,3
1521215075,0,2
1521216993,1,0
1521218914,1,1
1521220834,0,1
1521222759,1,2
1521226596,1,1
1521228514,2,1
1521230496,2,2
1521232362,1,1
1521234284,0,2
1521236204,1,3
1521238131,0,1
1521240033,2,3
1521241906,1,0
1521243857,2,3
1521245688,1,5
1521247496,3,0
1521249438,0,1
1521251321,1,2
1521253442,0,2
1521257363,1,2
1521259326,1,0
1521261308,2,3
1521263295,2,0
1521266926,0,1
1521268877,1,0
1521270758,1,0
1521272738,5,1
1521274579,1,0
1521278434,0,1
1521282274,1,0
1521289965,1,0
1521291993,2,1
1521293797,2,0
1521299696,4,0
1521301590,5,0
1521303523,2,1
1521305430,0,1
1521307359,1,0
1521309285,0,1
1521313119,4,1
1521315043,2,1
1521316975,5,2
1521318890,1,1
1521320925,2,1
1521323067,4,0
1521326947,1,3
1521328893,1,2
1521330752,1,1
1521332662,0,2
1521334576,2,1
1521336495,3,0
1521338490,3,1
1521340337,2,0
1521344431,0,2
1521346352,0,1
1521348290,1,2
1521350189,1,1
1521356077,0,2
1521358368,1,3
1521360271,3,2
1521362199,1,1
1521369874,3,1
1521371791,2,0
1521373700,3,0
1521375636,4,0
1521377579,1,1
1521379476,1,4
1521381379,3,0
1521383312,1,0
1521385281,0,2
1521387150,1,3
1521389075,1,5
1521390995,0,1
1521392951,2,1
1521394841,1,0
1521396751,2,0
1521398681,3,4
1521402745,2,6
1521404663,1,2
1521406583,3,2
1521408498,2,1
1521410490,3,3
1521413736,5,2
1521415696,5,0
1521417596,2,1
1521419548,1,2
1521421444,1,1
1521423638,3,3
1521425559,2,4
1521427484,3,0
1521429398,2,0
1521435397,0,1
1521437322,0,1
1521445000,0,2
1521446907,1,2
1521449089,0,1
1521454830,1,0
1521456756,0,3
1521458669,0,3
1521460595,0,4
1521462507,0,2
1521464500,2,1
1521466353,3,2
1521468288,1,2
1521470194,0,1
1521472124,2,0
1521474037,3,1
1521475966,0,1
1521477887,1,1
1521480064,2,1
1521481951,1,1
1521483905,0,3
1521485788,2,2
1521487753,2,0
1521490715,1,3
1521492826,1,3
1521494677,1,2
1521496578,0,3
1521498497,0,2
1521500540,0,3
1521502371,0,6
1521504518,2,2
1521506419,1,1
1521510272,1,3
1521512473,1,5
1521514494,0,2
1521516496,1,1
1521518307,3,0
1521524236,3,0
1521526241,3,0
1521532103,0,1
1521533927,1,0
1521539773,1,0
1521541592,0,1
1521543401,1,0
