DateTime,Entries,UniqueIPs
1519641644,134,134
1519648965,133,133
1519649801,134,134
1519653266,135,135
1519662506,136,136
1519668878,135,135
1519669862,129,129
1519671411,124,124
1519681359,125,125
1519700199,124,124
1519704894,125,125
1519708271,124,124
1519710163,123,123
1519711844,121,121
1519716782,122,122
1519720853,120,120
1519722651,117,117
1519731949,118,118
1519734706,117,117
1519735549,118,118
1519736223,117,117
1519739149,116,116
1519744242,115,115
1519746170,116,116
1519751452,115,115
1519752347,116,116
1519771263,115,115
1519787452,107,107
1519788728,107,107
1519792119,109,109
1519794585,108,108
1519796567,107,107
1519809282,110,110
1519818172,109,109
1519841455,110,110
1519852258,109,109
1519873311,108,108
1519875302,107,107
1519881057,109,109
1519894328,108,108
1519900957,107,107
1519902000,106,106
1519914025,110,110
1519922457,109,109
1519962066,108,108
1519965240,109,109
1519966648,108,108
1519972244,109,109
1519977408,106,106
1519985461,107,107
1519994152,106,106
1520010657,108,108
1520017849,107,107
1520075771,106,106
1520082610,105,105
1520088287,106,106
1520093579,105,105
1520134287,102,102
1520136210,103,103
1520159587,102,102
1520170893,103,103
1520177554,102,102
1520179162,101,101
1520183711,102,102
1520185286,101,101
1520201718,102,102
1520206142,101,101
1520217313,100,100
1520218186,101,101
1520226951,103,103
1520247052,104,104
1520248569,101,101
1520249710,99,99
1520251845,100,100
1520270149,101,101
1520275590,102,102
1520278964,103,103
1520316663,104,104
1520320569,103,103
1520322648,105,105
1520331005,104,104
1520334884,103,103
1520340063,102,102
1520372779,103,103
1520392586,101,101
1520399797,104,104
1520407000,105,105
1520408512,104,104
1520417695,103,103
1520419389,102,102
1520424472,103,103
1520427823,102,102
1520430083,101,101
1520433303,100,100
1520440979,101,101
1520444040,100,100
1520452224,99,99
1520458274,98,98
1520474212,99,99
1520476364,100,100
1520489750,99,99
1520493291,104,104
1520495188,105,105
1520507355,104,104
1520512225,103,103
1520513022,105,105
1520515863,104,104
1520556957,105,105
1520565359,106,106
1520567012,107,107
1520568919,108,108
1520569916,110,110
1520584904,109,109
1520589403,108,108
1520591498,106,106
1520593471,105,105
1520613128,109,109
1520613970,110,110
1520614992,111,111
1520620987,112,112
1520623904,113,113
1520645862,111,111
1520652855,110,110
1520654151,115,115
1520664238,114,114
1520678503,113,113
1520680258,112,112
1520681443,110,110
1520693212,109,109
1520695890,109,109
1520698542,108,108
1520699323,111,111
1520705030,112,112
1520705977,113,113
1520709286,112,112
1520726217,111,111
1520728903,112,112
1520736095,110,110
1520738164,111,111
1520739782,112,112
1520761388,111,111
1520768323,110,110
1520769880,111,111
1520779406,112,112
1520787373,113,113
1520802662,112,112
1520809863,113,113
1520823836,111,111
1520830255,115,115
1520852194,114,114
1520866607,118,118
1520872130,119,119
1520874231,120,120
1520905411,119,119
1520908991,118,118
1520911867,117,117
1520920586,118,118
1520937623,117,117
1520938920,117,117
1520942711,118,118
1520953861,119,119
1520962569,120,120
1520981164,119,119
1520998473,118,118
1521000470,117,117
1521002469,120,120
1521023633,119,119
1521029728,119,119
1521030693,119,119
1521032607,120,120
1521036878,116,116
1521045968,117,117
1521061185,116,116
1521062156,117,117
1521079754,116,116
1521088997,115,115
1521093343,114,114
1521108879,113,113
1521109799,112,112
1521110581,111,111
1521155348,110,110
1521171099,108,108
1521173681,106,106
1521176200,107,107
1521187165,109,109
1521189288,108,108
1521206045,107,107
1521209707,108,108
1521213310,109,109
1521222596,110,110
1521225650,109,109
1521231485,108,108
1521233754,106,106
1521257115,104,104
1521258942,103,103
1521263707,104,104
1521287022,103,103
1521287796,102,102
1521291940,95,95
1521294582,93,93
1521299338,92,92
1521301376,91,91
1521303387,90,90
1521305474,91,91
1521330351,90,90
1521331167,89,89
1521351799,88,88
1521355372,86,86
1521356197,84,84
1521358531,91,91
1521372526,92,92
1521375426,93,93
1521377182,94,94
1521378652,95,95
1521382009,97,97
1521385162,96,96
1521387976,95,95
1521396889,94,94
1521398468,93,93
1521404089,92,92
1521405977,91,91
1521425753,92,92
1521432944,93,93
1521441102,101,101
1521446591,100,100
1521450910,101,101
1521458933,100,100
1521471418,102,102
1521502320,103,103
1521519305,104,104
1521522604,105,105
1521525408,104,104
1521527549,102,102
